station_name,badge_number,exception_date,exception_start_time,hours,exception_group,exception_source
4 District D Platoon,97943,20221229,7:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,98017,20221229,18:00,12,Sick,Sick
4 District C Platoon,98312,20221229,17:00,12,Sick,Sick
4 District C Platoon,98131,20221229,19:00,12,Sick,Sick
4 District D Platoon,97943,20221230,7:00,6,Stat Holiday,Voluntary Time Off
4 District C Platoon,98312,20221230,17:00,12,Sick,Sick
4 District C Platoon,98131,20221230,19:00,12,Sick,Sick
4 District D Platoon,97943,20221231,19:00,12,Stat Holiday,Voluntary Time Off
4 District A Platoon,98301,20221231,6:00,12,Stat Holiday,Voluntary Time Off
4 District A Platoon,96665,20230103,17:00,12,Stat Holiday,Voluntary Time Off
4 District B Platoon,98226,20230103,7:00,12,Vacation,Voluntary Time Off
4 District A Platoon,97764,20230103,18:00,12,Sick,Sick
4 District A Platoon,97696,20230103,20:45,9.25,Sick,Sick
4 District B Platoon,98226,20230104,19:00,12,Vacation,Voluntary Time Off
4 District C Platoon,97939,20230104,7:00,12,Sick,Sick
4 District B Platoon,98226,20230105,19:00,12,Vacation,Voluntary Time Off
4 District C Platoon,97939,20230105,7:00,12,Sick,Sick
4 District C Platoon,98010,20230106,18:00,12,Vacation,Voluntary Time Off
4 District A Platoon,96665,20230108,5:00,12,Vacation,Voluntary Time Off
4 District A Platoon,96665,20230109,5:00,12,Vacation,Voluntary Time Off
4 District A Platoon,98333,20230109,8:00,8,Training,Scheduled Hours Exceptions
4 District A Platoon,96665,20230110,17:00,12,Vacation,Voluntary Time Off
4 District A Platoon,98333,20230110,8:00,8,Training,Scheduled Hours Exceptions
4 District A Platoon,98396,20230110,19:00,12,Accrued,Voluntary Time Off
4 District A Platoon,96665,20230111,17:00,12,Accrued,Voluntary Time Off
4 District B Platoon,98138,20230111,8:00,9,Training,Scheduled Hours Exceptions
4 District A Platoon,98333,20230111,8:00,8,Training,Scheduled Hours Exceptions
4 District D Platoon,98127,20230111,8:00,9,Training,Scheduled Hours Exceptions
4 District C Platoon,97939,20230112,12:00,4,Training,Scheduled Hours Exceptions
4 District A Platoon,98333,20230112,8:00,8,Training,Scheduled Hours Exceptions
4 District C Platoon,97939,20230113,12:00,4,Training,Scheduled Hours Exceptions
4 District A Platoon,98333,20230113,8:00,8,Training,Scheduled Hours Exceptions
4 District D Platoon,98206,20230115,7:00,4,Training,Scheduled Hours Exceptions
4 District C Platoon,97939,20230115,0:30,5.5,Sick,Sick
4 District A Platoon,96665,20230116,5:00,12,Sick,Sick
4 District A Platoon,98333,20230116,8:00,8,Training,Scheduled Hours Exceptions
4 District A Platoon,96665,20230117,5:00,12,Sick,Sick
4 District A Platoon,98333,20230117,8:00,8,Training,Scheduled Hours Exceptions
4 District C Platoon,97794,20221220,6:00,12,Vacation,Voluntary Time Off
4 District B Platoon,98262,20221220,19:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,98131,20221220,7:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98312,20221220,5:00,12,Sick,Sick
4 District C Platoon,97794,20221221,18:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98131,20221221,19:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98312,20221221,17:00,12,Sick,Sick
4 District C Platoon,97939,20221222,5:00,1,Stat Holiday,Voluntary Time Off
4 District C Platoon,97794,20221222,18:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98131,20221222,19:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98312,20221222,17:00,12,Sick,Sick
4 District A Platoon,98370,20221223,6:00,12,Stat Holiday,Voluntary Time Off
4 District A Platoon,97792,20221223,6:00,12,Vacation,Voluntary Time Off
4 District A Platoon,98301,20221223,6:00,12,Accrued,Voluntary Time Off
4 District A Platoon,98370,20221224,6:00,12,Stat Holiday,Voluntary Time Off
4 District A Platoon,97792,20221224,6:00,12,Vacation,Voluntary Time Off
4 District A Platoon,98301,20221224,6:00,12,Accrued,Voluntary Time Off
4 District A Platoon,98242,20221224,12:00,6,Stat Holiday,Voluntary Time Off
4 District A Platoon,98370,20221225,18:00,12,Stat Holiday,Voluntary Time Off
4 District A Platoon,97792,20221225,18:00,12,Vacation,Voluntary Time Off
4 District B Platoon,98262,20221225,7:00,2,Stat Holiday,Voluntary Time Off
4 District A Platoon,98242,20221225,18:00,12,Stat Holiday,Voluntary Time Off
4 District A Platoon,98370,20221226,18:00,12,Stat Holiday,Voluntary Time Off
4 District B Platoon,98024,20221226,16:00,1,Stat Holiday,Voluntary Time Off
4 District A Platoon,97792,20221226,18:00,12,Vacation,Voluntary Time Off
4 District A Platoon,98301,20221226,18:00,12,Accrued,Voluntary Time Off
4 District A Platoon,98242,20221226,18:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,98017,20221227,6:00,12,Sick,Sick
4 District C Platoon,98312,20221227,5:00,12,Sick,Sick
4 District C Platoon,98131,20221227,7:00,12,Sick,Sick
4 District C Platoon,98312,20221228,5:00,12,Sick,Sick
4 District C Platoon,98131,20221228,7:00,12,Sick,Sick
4 District A Platoon,98242,20221201,2:00,4,Accrued,Voluntary Time Off
4 District A Platoon,98242,20221202,0:00,6,Stat Holiday,Voluntary Time Off
4 District C Platoon,98312,20221203,5:00,14,Sick,Sick
4 District C Platoon,98068,20221203,6:00,12,Sick,Sick
4 District C Platoon,98068,20221204,6:00,12,Sick,Sick
4 District C Platoon,98131,20221205,19:00,12,Sick,Sick
4 District C Platoon,98017,20221206,18:00,3,Accrued,Voluntary Time Off
4 District C Platoon,97794,20221206,8:00,9,Training,Scheduled Hours Exceptions
4 District C Platoon,97794,20221206,17:30,3,Training,Scheduled Hours Exceptions
4 District C Platoon,98312,20221211,7:00,12,Accrued,Voluntary Time Off
4 District C Platoon,98068,20221211,6:00,12,Accrued,Voluntary Time Off
4 District B Platoon,98024,20221212,21:00,3,Stat Holiday,Voluntary Time Off
4 District C Platoon,98312,20221212,7:00,12,Accrued,Voluntary Time Off
4 District C Platoon,98017,20221213,18:00,4,Accrued,Voluntary Time Off
4 District C Platoon,98312,20221213,19:00,12,Accrued,Voluntary Time Off
4 District C Platoon,98312,20221214,19:00,12,Accrued,Voluntary Time Off
4 District A Platoon,98370,20221215,6:00,11,Accrued,Voluntary Time Off
4 District A Platoon,98370,20221215,17:00,1,Stat Holiday,Voluntary Time Off
4 District A Platoon,98123,20221215,6:00,12,Accrued,Voluntary Time Off
4 District A Platoon,97792,20221215,6:00,1,Stat Holiday,Voluntary Time Off
4 District A Platoon,98370,20221216,6:00,12,Vacation,Voluntary Time Off
4 District A Platoon,98123,20221216,6:00,12,Accrued,Voluntary Time Off
4 District A Platoon,98370,20221217,18:00,12,Accrued,Voluntary Time Off
4 District B Platoon,98024,20221217,6:00,12,Accrued,Voluntary Time Off
4 District B Platoon,98262,20221217,7:00,12,Stat Holiday,Voluntary Time Off
4 District A Platoon,98123,20221217,18:00,4,Accrued,Voluntary Time Off
4 District A Platoon,98123,20221217,22:00,8,Stat Holiday,Voluntary Time Off
4 District A Platoon,98301,20221217,22:00,8,Stat Holiday,Voluntary Time Off
4 District A Platoon,98301,20221217,18:00,4,Accrued,Voluntary Time Off
4 District A Platoon,98242,20221217,18:00,6,Sick,Sick
4 District A Platoon,98370,20221218,18:00,12,Stat Holiday,Voluntary Time Off
4 District B Platoon,98024,20221218,6:00,8,Accrued,Voluntary Time Off
4 District B Platoon,98262,20221218,7:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,97794,20221219,6:00,12,Vacation,Voluntary Time Off
4 District B Platoon,98262,20221219,19:00,12,Stat Holiday,Voluntary Time Off
4 District A Platoon,97792,20221219,0:00,6,Stat Holiday,Voluntary Time Off
4 District C Platoon,98131,20221219,7:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98312,20221219,5:00,12,Sick,Sick
4 District C Platoon,98068,20221219,6:00,7,Accrued,Voluntary Time Off
4 District B Platoon,98024,20221220,18:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,98017,20221220,14:00,4,Accrued,Voluntary Time Off
4 District A Platoon,98370,20221115,18:00,12,Vacation,Voluntary Time Off
4 District A Platoon,98301,20221115,18:00,12,Vacation,Voluntary Time Off
4 District A Platoon,97792,20221115,18:00,12,Sick,Sick
4 District A Platoon,98370,20221116,18:00,12,Vacation,Voluntary Time Off
4 District A Platoon,98301,20221116,18:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98312,20221117,7:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98068,20221117,15:00,3,Accrued,Voluntary Time Off
4 District B Platoon,98024,20221118,2:00,4,Stat Holiday,Voluntary Time Off
4 District C Platoon,98312,20221118,7:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98312,20221119,19:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98312,20221120,19:00,12,Vacation,Voluntary Time Off
4 District A Platoon,98242,20221122,12:00,4,Training,Scheduled Hours Exceptions
4 District B Platoon,98024,20221125,18:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,98017,20221125,6:00,12,Vacation,Voluntary Time Off
4 District B Platoon,96829,20221125,17:00,12,Vacation,Voluntary Time Off
4 District B Platoon,98024,20221126,18:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,98017,20221126,6:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98017,20221127,18:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98131,20221127,19:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,98017,20221128,18:00,12,Vacation,Voluntary Time Off
4 District C Platoon,98131,20221128,19:00,8,Stat Holiday,Voluntary Time Off
4 District C Platoon,98131,20221128,4:00,3,Accrued,Voluntary Time Off
4 District A Platoon,98301,20221129,7:00,10,Training,Scheduled Hours Exceptions
4 District B Platoon,96829,20221201,11:00,1,Training,Scheduled Hours Exceptions
4 District B Platoon,98024,20221031,6:00,12,Sick,Sick
4 District A Platoon,98123,20221031,19:00,12,Vacation,Voluntary Time Off
4 District A Platoon,98242,20221031,18:00,12,Vacation,Voluntary Time Off
4 District C Platoon,97965,20221031,8:00,8,Training,Scheduled Hours Exceptions
4 District B Platoon,98024,20221101,18:00,12,Sick,Sick
4 District C Platoon,97794,20221101,17:30,3,Training,Scheduled Hours Exceptions
4 District C Platoon,97965,20221101,8:00,8,Training,Scheduled Hours Exceptions
4 District C Platoon,98017,20221102,6:00,3,Accrued,Voluntary Time Off
4 District C Platoon,98068,20221102,7:00,4,Training,Scheduled Hours Exceptions
4 District C Platoon,97965,20221102,8:00,8,Training,Scheduled Hours Exceptions
4 District C Platoon,97965,20221103,8:00,8,Training,Scheduled Hours Exceptions
4 District A Platoon,98301,20221103,7:00,10,Training,Scheduled Hours Exceptions
4 District A Platoon,98242,20221103,7:00,10,Training,Scheduled Hours Exceptions
4 District C Platoon,97965,20221104,8:00,8,Training,Scheduled Hours Exceptions
