date,forecast_calls_base,forecast_hours_off_base,special_event,calls_multiplier,hours_multiplier,forecast_calls,forecast_hours_off,risk_level,day_name,month,is_high_calls,is_high_hours,is_intersection,challenge_type
2025-01-01,150.24735815537937,259.5307024310405,New Year Day,1.3,1.4,195.3215656019932,363.3429834034566,High Risk,Wednesday,1,True,True,True,CRITICAL: High Calls + High Hours
2025-01-02,136.46037411155325,265.46482506848076,,1.0,1.0,136.46037411155325,265.46482506848076,Normal,Thursday,1,False,False,False,Normal
2025-01-03,122.19143737185391,264.57078900461227,,1.0,1.0,122.19143737185391,264.57078900461227,Normal,Friday,1,False,False,False,Normal
2025-01-04,138.21443947956706,271.29918611169603,,1.0,1.0,138.21443947956706,271.29918611169603,Normal,Saturday,1,False,False,False,Normal
2025-01-05,140.4592255257441,278.3856133963616,,1.0,1.0,140.4592255257441,278.3856133963616,Normal,Sunday,1,False,False,False,Normal
2025-01-06,142.19335383735663,277.4565076153501,,1.0,1.0,142.19335383735663,277.4565076153501,High Calls,Monday,1,True,False,False,High Calls Only
2025-01-07,144.4045145430658,284.6094506252699,,1.0,1.0,144.4045145430658,284.6094506252699,High Calls,Tuesday,1,True,False,False,High Calls Only
2025-01-08,151.02814688578152,288.7271591551096,,1.0,1.0,151.02814688578152,288.7271591551096,High Calls,Wednesday,1,True,False,False,High Calls Only
2025-01-09,136.87613673800456,277.6259018612987,,1.0,1.0,136.87613673800456,277.6259018612987,Normal,Thursday,1,False,False,False,Normal
2025-01-10,122.58248508980999,270.6647033479826,,1.0,1.0,122.58248508980999,270.6647033479826,Normal,Friday,1,False,False,False,Normal
2025-01-11,138.53197552221826,274.1501094499068,,1.0,1.0,138.53197552221826,274.1501094499068,Normal,Saturday,1,False,False,False,Normal
2025-01-12,140.76496568858127,278.9337731227134,,1.0,1.0,140.76496568858127,278.9337731227134,Normal,Sunday,1,False,False,False,Normal
2025-01-13,142.51248282368266,282.0527698082326,,1.0,1.0,142.51248282368266,282.0527698082326,High Calls,Monday,1,True,False,False,High Calls Only
2025-01-14,144.74056440843887,287.8034343668424,,1.0,1.0,144.74056440843887,287.8034343668424,High Calls,Tuesday,1,True,False,False,High Calls Only
2025-01-15,151.35568854003392,290.57126348323396,,1.0,1.0,151.35568854003392,290.57126348323396,High Calls,Wednesday,1,True,False,False,High Calls Only
2025-01-16,137.20282132676837,278.65715427215804,,1.0,1.0,137.20282132676837,278.65715427215804,Normal,Thursday,1,False,False,False,Normal
2025-01-17,122.9091116437194,271.3943620648042,,1.0,1.0,122.9091116437194,271.3943620648042,Normal,Friday,1,False,False,False,Normal
2025-01-18,138.8584294949178,274.7207646798315,,1.0,1.0,138.8584294949178,274.7207646798315,Normal,Saturday,1,False,False,False,Normal
2025-01-19,141.09139196850586,279.396458792375,,1.0,1.0,141.09139196850586,279.396458792375,Normal,Sunday,1,False,False,False,Normal
2025-01-20,142.83894053586613,282.6812608700272,,1.0,1.0,142.83894053586613,282.6812608700272,High Calls,Monday,1,True,False,False,High Calls Only
2025-01-21,145.06706184493086,288.37016472362626,,1.0,1.0,145.06706184493086,288.37016472362626,High Calls,Tuesday,1,True,False,False,High Calls Only
2025-01-22,151.68216600221925,291.07974471354606,,1.0,1.0,151.68216600221925,291.07974471354606,High Calls,Wednesday,1,True,False,False,High Calls Only
2025-01-23,137.52929677686342,279.13070249701497,,1.0,1.0,137.52929677686342,279.13070249701497,Normal,Thursday,1,False,False,False,Normal
2025-01-24,123.23558695756887,271.85488057719016,,1.0,1.0,123.23558695756887,271.85488057719016,Normal,Friday,1,False,False,False,Normal
2025-01-25,139.1849044036069,275.17442575474007,,1.0,1.0,139.1849044036069,275.17442575474007,Normal,Saturday,1,False,False,False,Normal
2025-01-26,141.41786681218204,279.8454905829,,1.0,1.0,141.41786681218204,279.8454905829,Normal,Sunday,1,False,False,False,Normal
2025-01-27,143.1654154533343,283.13726347043433,,1.0,1.0,143.1654154533343,283.13726347043433,High Calls,Monday,1,True,False,False,High Calls Only
2025-01-28,145.39353685565783,288.82354225373365,,1.0,1.0,145.39353685565783,288.82354225373365,High Calls,Tuesday,1,True,False,False,High Calls Only
2025-01-29,152.00864096605352,291.5306538108255,,1.0,1.0,152.00864096605352,291.5306538108255,High Calls,Wednesday,1,True,False,False,High Calls Only
2025-01-30,137.855771735974,279.5801321254462,,1.0,1.0,137.855771735974,279.5801321254462,Normal,Thursday,1,False,False,False,Normal
2025-01-31,123.56206191635961,272.3037579461123,,1.0,1.0,123.56206191635961,272.3037579461123,Normal,Friday,1,False,False,False,Normal
2025-02-01,139.51137936144644,275.62301254855413,,1.0,1.0,139.51137936144644,275.62301254855413,Normal,Saturday,2,False,False,False,Normal
2025-02-02,141.74434176986898,280.29388138696106,,1.0,1.0,141.74434176986898,280.29388138696106,Normal,Sunday,2,False,False,False,Normal
2025-02-03,143.49189041119448,283.5859485265262,,1.0,1.0,143.49189041119448,283.5859485265262,High Calls,Monday,2,True,False,False,High Calls Only
2025-02-04,145.72001181373696,289.2721163170702,,1.0,1.0,145.72001181373696,289.2721163170702,High Calls,Tuesday,2,True,False,False,High Calls Only
2025-02-05,152.33511592402257,291.97912355123003,,1.0,1.0,152.33511592402257,291.97912355123003,High Calls,Wednesday,2,True,False,False,High Calls Only
2025-02-06,138.18224669393197,280.0285393450158,,1.0,1.0,138.18224669393197,280.0285393450158,Normal,Thursday,2,False,False,False,Normal
2025-02-07,123.88853687431684,272.752141825018,,1.0,1.0,123.88853687431684,272.752141825018,Normal,Friday,2,False,False,False,Normal
2025-02-08,139.83785431940143,276.07138414708703,,1.0,1.0,139.83785431940143,276.07138414708703,Normal,Saturday,2,False,False,False,Normal
2025-02-09,142.07081672782357,280.74224470360105,,1.0,1.0,142.07081672782357,280.74224470360105,High Calls,Sunday,2,True,False,False,High Calls Only
2025-02-10,143.81836536914946,284.0343242717502,,1.0,1.0,143.81836536914946,284.0343242717502,High Calls,Monday,2,True,False,False,High Calls Only
2025-02-11,146.04648677169246,289.72048737302265,,1.0,1.0,146.04648677169246,289.72048737302265,High Calls,Tuesday,2,True,False,False,High Calls Only
2025-02-12,152.6615908819778,292.4274902000001,,1.0,1.0,152.6615908819778,292.4274902000001,High Calls,Wednesday,2,True,False,False,High Calls Only
2025-02-13,138.50872165188716,280.47690335259347,,1.0,1.0,138.50872165188716,280.47690335259347,Normal,Thursday,2,False,False,False,Normal
2025-02-14,124.21501183227201,273.20050484655195,,1.0,1.0,124.21501183227201,273.20050484655195,Normal,Friday,2,False,False,False,Normal
2025-02-15,140.16432927735661,276.51974664983055,,1.0,1.0,140.16432927735661,276.51974664983055,Normal,Saturday,2,False,False,False,Normal
2025-02-16,142.39729168577878,281.1906068564788,,1.0,1.0,142.39729168577878,281.1906068564788,High Calls,Sunday,2,True,False,False,High Calls Only
2025-02-17,144.14484032710467,284.4826869496338,Family Day,1.15,1.25,165.76656637617037,355.6033586870422,High Risk,Monday,2,True,True,True,CRITICAL: High Calls + High Hours
2025-02-18,146.37296172964767,290.16884985281536,,1.0,1.0,146.37296172964767,290.16884985281536,High Calls,Tuesday,2,True,False,False,High Calls Only
2025-02-19,152.988065839933,292.8758524936203,,1.0,1.0,152.988065839933,292.8758524936203,High Calls,Wednesday,2,True,False,False,High Calls Only
2025-02-20,138.83519660984237,280.9252655346421,,1.0,1.0,138.83519660984237,280.9252655346421,Normal,Thursday,2,False,False,False,Normal
2025-02-21,124.54148679022722,273.64886698694716,,1.0,1.0,124.54148679022722,273.64886698694716,Normal,Friday,2,False,False,False,Normal
2025-02-22,140.49080423531183,276.9681087683105,,1.0,1.0,140.49080423531183,276.9681087683105,Normal,Saturday,2,False,False,False,Normal
2025-02-23,142.723766643734,281.6389689601794,,1.0,1.0,142.723766643734,281.6389689601794,High Calls,Sunday,2,True,False,False,High Calls Only
2025-02-24,144.4713152850599,284.9310490755119,,1.0,1.0,144.4713152850599,284.9310490755119,High Calls,Monday,2,True,False,False,High Calls Only
2025-02-25,146.69943668760288,290.6172119703256,,1.0,1.0,146.69943668760288,290.6172119703256,High Calls,Tuesday,2,True,False,False,High Calls Only
2025-02-26,153.3145407978882,293.32421460326617,,1.0,1.0,153.3145407978882,293.32421460326617,High Calls,Wednesday,2,True,False,False,High Calls Only
2025-02-27,139.16167156779758,281.3736276395749,,1.0,1.0,139.16167156779758,281.3736276395749,Normal,Thursday,2,False,False,False,Normal
2025-02-28,124.86796174818244,274.0972290901204,,1.0,1.0,124.86796174818244,274.0972290901204,Normal,Friday,2,False,False,False,Normal
2025-03-01,140.81727919326704,277.416470870558,,1.0,1.0,140.81727919326704,277.416470870558,Normal,Saturday,3,False,False,False,Normal
2025-03-02,143.0502416016892,282.0873310618026,,1.0,1.0,143.0502416016892,282.0873310618026,High Calls,Sunday,3,True,False,False,High Calls Only
2025-03-03,144.7977902430151,285.37941117807196,,1.0,1.0,144.7977902430151,285.37941117807196,High Calls,Monday,3,True,False,False,High Calls Only
2025-03-04,147.0259116455581,291.06557407253223,,1.0,1.0,147.0259116455581,291.06557407253223,High Calls,Tuesday,3,True,False,False,High Calls Only
2025-03-05,153.64101575584343,293.7725767051406,,1.0,1.0,153.64101575584343,293.7725767051406,High Calls,Wednesday,3,True,False,False,High Calls Only
2025-03-06,139.4881465257528,281.82198974125026,,1.0,1.0,139.4881465257528,281.82198974125026,Normal,Thursday,3,False,False,False,Normal
2025-03-07,125.19443670613765,274.54559119172137,,1.0,1.0,125.19443670613765,274.54559119172137,Normal,Friday,3,False,False,False,Normal
2025-03-08,141.14375415122225,277.86483297211987,,1.0,1.0,141.14375415122225,277.86483297211987,Normal,Saturday,3,False,False,False,Normal
2025-03-09,143.37671655964442,282.5356931633381,,1.0,1.0,143.37671655964442,282.5356931633381,High Calls,Sunday,3,True,False,False,High Calls Only
2025-03-10,145.1242652009703,285.82777327964703,,1.0,1.0,145.1242652009703,285.82777327964703,High Calls,Monday,3,True,False,False,High Calls Only
2025-03-11,147.3523866035133,291.5139361740923,,1.0,1.0,147.3523866035133,291.5139361740923,High Calls,Tuesday,3,True,False,False,High Calls Only
2025-03-12,153.96749071379864,294.2209388066866,,1.0,1.0,153.96749071379864,294.2209388066866,High Calls,Wednesday,3,True,False,False,High Calls Only
2025-03-13,139.814621483708,282.2703518427879,,1.0,1.0,139.814621483708,282.2703518427879,Normal,Thursday,3,False,False,False,Normal
2025-03-14,125.52091166409286,274.9939532932559,,1.0,1.0,125.52091166409286,274.9939532932559,Normal,Friday,3,False,False,False,Normal
2025-03-15,141.47022910917747,278.31319507365276,,1.0,1.0,141.47022910917747,278.31319507365276,Normal,Saturday,3,False,False,False,Normal
2025-03-16,143.70319151759963,282.9840552648699,,1.0,1.0,143.70319151759963,282.9840552648699,High Calls,Sunday,3,True,False,False,High Calls Only
2025-03-17,145.45074015892553,286.27613538118044,,1.0,1.0,145.45074015892553,286.27613538118044,High Calls,Monday,3,True,False,False,High Calls Only
2025-03-18,147.67886156146852,291.96229827562513,,1.0,1.0,147.67886156146852,291.96229827562513,High Calls,Tuesday,3,True,False,False,High Calls Only
2025-03-19,154.29396567175385,294.6693009082189,,1.0,1.0,154.29396567175385,294.6693009082189,High Calls,Wednesday,3,True,False,False,High Calls Only
2025-03-20,140.14109644166322,282.7187139443198,,1.0,1.0,140.14109644166322,282.7187139443198,Normal,Thursday,3,False,False,False,Normal
2025-03-21,125.84738662204808,275.44231539478767,,1.0,1.0,125.84738662204808,275.44231539478767,Normal,Friday,3,False,False,False,Normal
2025-03-22,141.79670406713268,278.76155717518446,,1.0,1.0,141.79670406713268,278.76155717518446,Normal,Saturday,3,False,False,False,Normal
2025-03-23,144.02966647555485,283.4324173664015,,1.0,1.0,144.02966647555485,283.4324173664015,High Calls,Sunday,3,True,False,False,High Calls Only
2025-03-24,145.77721511688074,286.7244974827122,,1.0,1.0,145.77721511688074,286.7244974827122,High Calls,Monday,3,True,False,False,High Calls Only
2025-03-25,148.00533651942374,292.4106603771569,,1.0,1.0,148.00533651942374,292.4106603771569,High Calls,Tuesday,3,True,False,False,High Calls Only
2025-03-26,154.62044062970907,295.1176630097506,,1.0,1.0,154.62044062970907,295.1176630097506,High Calls,Wednesday,3,True,False,False,High Calls Only
2025-03-27,140.46757139961844,283.1670760458515,,1.0,1.0,140.46757139961844,283.1670760458515,Normal,Thursday,3,False,False,False,Normal
2025-03-28,126.17386158000329,275.89067749631937,,1.0,1.0,126.17386158000329,275.89067749631937,Normal,Friday,3,False,False,False,Normal
